,Enzyme Common Name,,EnzymeId,BioCyn ID
3223,protein binding//phosphoinositide binding,primary,,FBGN0034265-MONOMER
3224,nucleotide binding//mRNA binding//poly(U) binding,primary,,FBGN0028577-MONOMER
3225,alpha-mannosidase activity,primary,939,FBGN0027611-MONOMER
3226,ORF,primary,,FBGN0050476-MONOMER
3227,ORF,primary,,FBGN0052691-MONOMER
3228,acyl-CoA thioesterase activity,primary,445,FBGN0031844-MONOMER
3229,ORF,primary,,FBGN0259203-MONOMER
3230,DNA binding,primary,,FBGN0023180-MONOMER
3231,microtubule binding//protein binding,primary,,FBGN0259108-MONOMER
3232,ORF,primary,,FBGN0050195-MONOMER
3233,protein binding//GTP binding,primary,,FBGN0030772-MONOMER
3234,ORF,primary,,FBGN0032671-MONOMER
3235,protein tyrosine phosphatase activity,primary,1490,FBGN0040077-MONOMER
3236,ferric iron binding//nucleic acid binding,primary,,FBGN0039972-MONOMER
3237,P-P-bond-hydrolysis-driven transmembrane transporter activity,primary,,FBGN0037710-MONOMER
3238,serine-type endopeptidase inhibitor activity,primary,,FBGN0085483-MONOMER
3239,zinc ion binding,primary,,FBGN0038550-MONOMER
3240,protein binding,primary,,FBGN0052085-MONOMER
3241,3'-5'-exoribonuclease activity//RNA binding,primary,,FBGN0037815-MONOMER
3242,zinc ion binding//nucleic acid binding,primary,,FBGN0038389-MONOMER
3243,superoxide dismutase activity,primary,1229,FBGN0003462-MONOMER
3244,unfolded protein binding//heat shock protein binding,primary,,FBGN0058178-MONOMER
3245,ORF,primary,,FBGN0259241-MONOMER
3246,DNA binding,primary,,FBGN0053808-MONOMER
3247,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0039659-MONOMER
3248,protein serine/threonine kinase activity,primary,1451,FBGN0259168-MONOMER
3249,calcium ion binding,primary,,FBGN0038829-MONOMER
3250,ORF,primary,,FBGN0052662-MONOMER
3251,ORF,primary,,FBGN0034809-MONOMER
3252,transcription factor activity//zinc ion binding//nucleic acid binding,primary,,FBGN0029173-MONOMER
3253,small GTPase regulator activity//protein binding//actin binding,primary,,FBGN0024273-MONOMER
3254,serine-type endopeptidase activity,primary,,FBGN0031248-MONOMER
3255,ORF,primary,,FBGN0031591-MONOMER
3256,catalytic activity//ATP binding,primary,,FBGN0004575-MONOMER
3257,biotin-[acetyl-CoA-carboxylase] ligase activity,primary,1494,FBGN0037332-MONOMER
3258,lipoprotein lipase activity,primary,679,FBGN0030162-MONOMER
3259,chitin binding,primary,,FBGN0038422-MONOMER
3260,ORF,primary,,FBGN0030102-MONOMER
3261,neprilysin activity,primary,211,FBGN0027528-MONOMER
3262,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0010612-MONOMER
3263,oxidoreductase activity//serine-type endopeptidase activity,primary,,FBGN0038351-MONOMER
3264,ORF,primary,,FBGN0085257-MONOMER
3265,ORF,primary,,FBGN0029719-MONOMER
3266,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0003742-MONOMER
3267,ORF,primary,,FBGN0035259-MONOMER
3268,protein binding//zinc ion binding,primary,,FBGN0011232-MONOMER
3269,ORF,primary,,FBGN0037449-MONOMER
3270,structural constituent of ribosome//rRNA binding,primary,,FBGN0010408-MONOMER
3271,ORF,primary,,FBGN0029808-MONOMER
3272,NAD+ ADP-ribosyltransferase activity,primary,1389,FBGN0027508-MONOMER
3273,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0034053-MONOMER
3274,"ATPase activity, coupled",primary,641,FBGN0001233-MONOMER
3275,ORF,primary,,FBGN0052267-MONOMER
3276,ORF,primary,,FBGN0052075-MONOMER
3277,carnitine transporter activity,primary,,FBGN0038404-MONOMER
3278,calmodulin binding,primary,,FBGN0000254-MONOMER
3279,ORF,primary,,FBGN0046828-MONOMER
3280,tRNA binding//aminoacyl-tRNA synthetase auxiliary protein activity,primary,,FBGN0033351-MONOMER
3281,protein binding,primary,,FBGN0035676-MONOMER
3282,ORF,primary,,FBGN0020880-MONOMER
3283,ORF,primary,,FBGN0085284-MONOMER
3284,ORF,primary,,FBGN0035703-MONOMER
3285,ubiquitin-protein ligase activity,primary,1480,FBGN0026316-MONOMER
3286,ORF,primary,,FBGN0039939-MONOMER
3287,DNA binding//ATP binding//DNA clamp loader activity,primary,,FBGN0032244-MONOMER
3288,xanthine dehydrogenase activity,primary,1060,FBGN0003308-MONOMER
3289,ORF,primary,,FBGN0039438-MONOMER
3290,calcium ion binding,primary,,FBGN0039029-MONOMER
3291,"ATPase activity, coupled",primary,641,FBGN0034478-MONOMER
3292,strictosidine synthase activity,primary,283,FBGN0041780-MONOMER
3293,structural constituent of ribosome//RNA binding,primary,,FBGN0004867-MONOMER
3294,signal transducer activity//receptor binding,primary,,FBGN0003326-MONOMER
3295,ribonuclease activity,primary,,FBGN0003264-MONOMER
3296,formyltetrahydrofolate dehydrogenase activity,primary,1366,FBGN0032945-MONOMER
3297,structural constituent of chorion,primary,,FBGN0000355-MONOMER
3298,transmembrane receptor protein tyrosine kinase activity,primary,1066,FBGN0053531-MONOMER
3299,ORF,primary,,FBGN0051803-MONOMER
3300,choline O-acetyltransferase activity,primary,1283,FBGN0000303-MONOMER
3301,taste receptor activity,primary,,FBGN0045477-MONOMER
3302,nucleic acid binding//endonuclease activity,primary,,FBGN0033490-MONOMER
3303,trypsin activity,primary,823,FBGN0052277-MONOMER
3304,protein binding//calcium ion binding,primary,,FBGN0023388-MONOMER
3305,protein binding,primary,,FBGN0033495-MONOMER
3306,ORF,primary,,FBGN0085221-MONOMER
3307,odorant binding,primary,,FBGN0050073-MONOMER
3308,UDP-glycosyltransferase activity,primary,935,FBGN0026315-MONOMER
3309,ORF,primary,,FBGN0030667-MONOMER
3310,ORF,primary,,FBGN0030657-MONOMER
3311,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,primary,1410,FBGN0086360-MONOMER
3312,nicotinic acetylcholine-activated cation-selective channel activity,primary,,FBGN0022997-MONOMER
3313,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,primary,243,FBGN0025352-MONOMER
3314,ORF,primary,,FBGN0031460-MONOMER
3315,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",primary,1034,FBGN0032598-MONOMER
3316,ORF,primary,,FBGN0030079-MONOMER
3317,ORF,primary,,FBGN0042111-MONOMER
3318,unfolded protein binding,primary,,FBGN0030614-MONOMER
3319,ORF,primary,,FBGN0040989-MONOMER
3320,protein kinase CK2 regulator activity,primary,,FBGN0053239-MONOMER
3321,ORF,primary,,FBGN0039654-MONOMER
3322,glutamate synthase activity,primary,1207,FBGN0001142-MONOMER
3323,protease inhibitor activity,primary,,FBGN0039155-MONOMER
3324,succinate dehydrogenase (ubiquinone) activity,primary,1064,FBGN0036222-MONOMER
3325,zinc ion binding,primary,,FBGN0035407-MONOMER
3326,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0015036-MONOMER
3327,structural constituent of chitin-based cuticle,primary,,FBGN0033942-MONOMER
3328,non-membrane spanning protein tyrosine kinase activity,primary,791,FBGN0004864-MONOMER
3329,unfolded protein binding//chaperone binding,primary,,FBGN0035603-MONOMER
3330,DNA binding//NAD-dependent histone deacetylase activity//NAD binding//zinc ion binding,primary,,FBGN0039631-MONOMER
3331,growth factor activity//specific transcriptional repressor activity//transforming growth factor beta receptor binding,primary,,FBGN0005590-MONOMER
3332,ORF,primary,,FBGN0038949-MONOMER
3333,chitinase activity,primary,1336,FBGN0031996-MONOMER
3334,electron carrier activity//ecdysteroid 25-hydroxylase activity//heme binding//iron ion binding,primary,,FBGN0004959-MONOMER
3335,ORF,primary,,FBGN0085550-MONOMER
3336,protein binding,primary,,FBGN0039504-MONOMER
3337,tetracycline:hydrogen antiporter activity,primary,,FBGN0086676-MONOMER
3338,,primary,580,MONOMER54L-33
3339,ORF,primary,,FBGN0036601-MONOMER
3340,long-chain-fatty-acid-CoA ligase activity,primary,987,FBGN0031703-MONOMER
3341,ORF,primary,,FBGN0085646-MONOMER
3342,glucose transmembrane transporter activity,primary,,FBGN0036316-MONOMER
3343,"selenide, water dikinase activity",primary,902,FBGN0032224-MONOMER
3344,serine-type endopeptidase inhibitor activity,primary,,FBGN0051778-MONOMER
3345,ORF,primary,,FBGN0035509-MONOMER
3346,ORF,primary,,FBGN0037614-MONOMER
3347,"ATPase activity, coupled to transmembrane movement of substances",primary,641,FBGN0036888-MONOMER
3348,ORF,primary,,FBGN0051813-MONOMER
3349,ORF,primary,,FBGN0029853-MONOMER
3350,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0036568-MONOMER
3351,unfolded protein binding,primary,,FBGN0014419-MONOMER
3352,adenylate cyclase activity,primary,724,FBGN0052158-MONOMER
3353,ORF,primary,,FBGN0039462-MONOMER
3354,transposase activity//DNA binding,primary,,FBGN0066307-MONOMER
3355,tRNA (guanine-N2-)-methyltransferase activity,primary,1399,FBGN0032430-MONOMER
3356,ORF,primary,,FBGN0030960-MONOMER
3357,RNA binding,primary,,FBGN0003638-MONOMER
3358,carboxylesterase activity,primary,1121,FBGN0020932-MONOMER
3359,glucuronosyltransferase activity,primary,527,FBGN0040262-MONOMER
3360,dopamine beta-monooxygenase activity,primary,1252,FBGN0037820-MONOMER
3361,allantoinase activity,primary,246,FBGN0030914-MONOMER
3362,ORF,primary,,FBGN0058378-MONOMER
3363,DNA-(apurinic or apyrimidinic site) lyase activity,primary,1379,FBGN0002622-MONOMER
3364,leucyl aminopeptidase activity,primary,1511,FBGN0034132-MONOMER
3365,ORF,primary,,FBGN0028482-MONOMER
3366,phenylalanine-tRNA ligase activity,primary,1418,FBGN0039175-MONOMER
3367,catalytic activity,primary,,FBGN0038858-MONOMER
3368,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity,primary,1152,FBGN0029153-MONOMER
3369,ORF,primary,,FBGN0085470-MONOMER
3370,catalytic activity//rhodopsin-like receptor activity,primary,,FBGN0037964-MONOMER
3371,nucleotide binding//mRNA binding//RNA binding,primary,,FBGN0052423-MONOMER
3372,ORF,primary,,FBGN0038183-MONOMER
3373,chitin binding,primary,,FBGN0040959-MONOMER
3374,ORF,primary,,FBGN0035555-MONOMER
3375,adenosine deaminase activity,primary,115,FBGN0038172-MONOMER
3376,ORF,primary,,FBGN0034881-MONOMER
3377,ubiquitin-protein ligase activity,primary,1480,FBGN0030145-MONOMER
3378,ORF,primary,,FBGN0031796-MONOMER
3379,ORF,primary,,FBGN0038267-MONOMER
3380,rhodopsin-like receptor activity,primary,,FBGN0025335-MONOMER
3381,protein tyrosine kinase activity//receptor signaling protein tyrosine kinase activity//ATP binding,primary,,FBGN0033791-MONOMER
3382,protein binding,primary,,FBGN0041729-MONOMER
3383,ORF,primary,,FBGN0032377-MONOMER
3384,ORF,primary,,FBGN0033274-MONOMER
3385,ORF,primary,,FBGN0029771-MONOMER
3386,"3',5'-cyclic-GMP phosphodiesterase activity",primary,667,FBGN0085370-MONOMER
3387,ORF,primary,,FBGN0052160-MONOMER
3388,sequence-specific DNA binding//DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0025360-MONOMER
3389,ORF,primary,,FBGN0036035-MONOMER
3390,zinc ion binding//nucleic acid binding,primary,,FBGN0039905-MONOMER
3391,ORF,primary,,FBGN0031849-MONOMER
3392,peptidyl-dipeptidase A activity,primary,1295,FBGN0016122-MONOMER
3393,zinc ion binding,primary,,FBGN0035970-MONOMER
3394,zinc ion binding,primary,,FBGN0050147-MONOMER
3395,structural constituent of ribosome//RNA binding,primary,,FBGN0036853-MONOMER
3396,adenylate kinase activity,primary,1270,FBGN0022708-MONOMER
3397,sodium:iodide symporter activity,primary,,FBGN0037895-MONOMER
3398,serine-pyruvate transaminase activity,primary,1244,FBGN0014031-MONOMER
3399,isoleucine-tRNA ligase activity,primary,1415,FBGN0036569-MONOMER
3400,protein binding//methyltransferase activity,primary,,FBGN0033073-MONOMER
3401,X-Pro aminopeptidase activity,primary,544,FBGN0026150-MONOMER
3402,ORF,primary,,FBGN0050151-MONOMER
3403,DNA binding,primary,,FBGN0026776-MONOMER
3404,protein transporter activity,primary,,FBGN0010340-MONOMER
3405,transcription cofactor activity,primary,1391,FBGN0037778-MONOMER
3406,ORF,primary,,FBGN0039224-MONOMER
3407,ORF,primary,,FBGN0052264-MONOMER
3408,protein transporter activity//protein binding,primary,,FBGN0001087-MONOMER
3409,ORF,primary,,FBGN0085650-MONOMER
3410,calcium channel activity,primary,,FBGN0040333-MONOMER
3411,ORF,primary,,FBGN0038539-MONOMER
3412,ORF,primary,,FBGN0052280-MONOMER
3413,signal transducer activity//ligase activity//protein binding//zinc ion binding//calcium ion binding,primary,,FBGN0020224-MONOMER
3414,binding//transmembrane transporter activity,primary,,FBGN0027786-MONOMER
3415,chromatin binding,primary,,FBGN0044324-MONOMER
3416,ORF,primary,,FBGN0035724-MONOMER
3417,ecdysone oxidase activity,primary,481,FBGN0030597-MONOMER
3418,structural constituent of chitin-based cuticle,primary,,FBGN0035543-MONOMER
3419,ORF,primary,,FBGN0032831-MONOMER
3420,serine-type peptidase activity//serine-type endopeptidase activity,primary,,FBGN0011834-MONOMER
3421,ORF,primary,,FBGN0039204-MONOMER
3422,ORF,primary,,FBGN0038052-MONOMER
3423,trypsin activity,primary,823,FBGN0003319-MONOMER
3424,ORF,primary,,FBGN0033273-MONOMER
3425,inositol-polyphosphate 5-phosphatase activity,primary,276,FBGN0034691-MONOMER
3426,actin binding,primary,,FBGN0259212-MONOMER
3427,ORF,primary,,FBGN0039434-MONOMER
3428,ORF,primary,,FBGN0051315-MONOMER
3429,endoribonuclease activity//translation initiation factor activity//protein binding//siRNA binding,primary,,FBGN0087035-MONOMER
3430,ORF,primary,,FBGN0029714-MONOMER
3431,ORF,primary,,FBGN0046822-MONOMER
3432,protein binding,primary,,FBGN0033639-MONOMER
3433,carboxylesterase activity,primary,1121,FBGN0015568-MONOMER
3434,Rho guanyl-nucleotide exchange factor activity//signal transducer activity,primary,,FBGN0259743-MONOMER
3435,ORF,primary,,FBGN0040066-MONOMER
3436,ORF,primary,,FBGN0033426-MONOMER
3437,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",primary,400,FBGN0036796-MONOMER
3438,ORF,primary,,FBGN0035727-MONOMER
3439,cytochrome-c oxidase activity,primary,1456,FBGN0015031-MONOMER
3440,protein binding//transcription factor activity//receptor activity//zinc ion binding,primary,,FBGN0035518-MONOMER
3441,"RNA splicing factor activity, transesterification mechanism//protein binding//mRNA binding",primary,,FBGN0033210-MONOMER
3442,ORF,primary,,FBGN0024998-MONOMER
3443,ORF,primary,,FBGN0029977-MONOMER
3444,receptor binding,primary,,FBGN0034876-MONOMER
3445,chitinase activity,primary,1336,FBGN0064237-MONOMER
3446,ORF,primary,,FBGN0020407-MONOMER
3447,zinc ion binding,primary,,FBGN0033581-MONOMER
3448,neprilysin activity,primary,211,FBGN0031808-MONOMER
3449,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0002533-MONOMER
3450,ORF,primary,,FBGN0032040-MONOMER
3451,ORF,primary,,FBGN0085690-MONOMER
3452,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0037402-MONOMER
3453,ORF,primary,,FBGN0053194-MONOMER
3454,metal ion transmembrane transporter activity,primary,,FBGN0038412-MONOMER
3455,ORF,primary,,FBGN0035675-MONOMER
3456,ORF,primary,,FBGN0053698-MONOMER
3457,polypeptide N-acetylgalactosaminyltransferase activity,primary,678,FBGN0051776-MONOMER
3458,structural constituent of ribosome,primary,,FBGN0036213-MONOMER
3459,ORF,primary,,FBGN0035364-MONOMER
3460,ORF,primary,,FBGN0029659-MONOMER
3461,Rab-protein geranylgeranyltransferase activity,primary,970,FBGN0026378-MONOMER
3462,actin binding,primary,,FBGN0031437-MONOMER
3463,glutathione transferase activity,primary,650,FBGN0061207-MONOMER
3464,ORF,primary,,FBGN0041711-MONOMER
3465,ORF,primary,,FBGN0053341-MONOMER
3466,ORF,primary,,FBGN0053964-MONOMER
3467,sequence-specific DNA binding//DNA binding//transcription factor activity,primary,,FBGN0005658-MONOMER
3468,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0036793-MONOMER
3469,protein binding,primary,,FBGN0034113-MONOMER
3470,ORF,primary,,FBGN0004055-MONOMER
3471,ORF,primary,,FBGN0029657-MONOMER
3472,DNA binding,primary,,FBGN0001197-MONOMER
3473,ORF,primary,,FBGN0085633-MONOMER
3474,structural constituent of ribosome,primary,,FBGN0004403-MONOMER
3475,3-hydroxyisobutyryl-CoA hydrolase activity,primary,1022,FBGN0038326-MONOMER
3476,ubiquitin-protein ligase activity,primary,1480,FBGN0003691-MONOMER
3477,ORF,primary,,FBGN0051680-MONOMER
3478,phosphoglycolate phosphatase activity,primary,854,FBGN0031335-MONOMER
3479,ORF,primary,,FBGN0029507-MONOMER
3480,ORF,primary,,FBGN0004052-MONOMER
3481,ORF,primary,,FBGN0053463-MONOMER
3482,mRNA binding//RNA binding,primary,,FBGN0022987-MONOMER
3483,ORF,primary,,FBGN0039127-MONOMER
3484,transporter activity,primary,,FBGN0039864-MONOMER
3485,carnitine O-palmitoyltransferase activity,primary,315,FBGN0027842-MONOMER
3486,ORF,primary,,FBGN0031822-MONOMER
3487,serine carboxypeptidase activity,primary,,FBGN0027561-MONOMER
3488,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//NAD binding",primary,,FBGN0032889-MONOMER
3489,binding//transmembrane transporter activity,primary,,FBGN0037512-MONOMER
3490,endopeptidase Clp activity,primary,1000,FBGN0038745-MONOMER
3491,GTPase activity,primary,1171,FBGN0029959-MONOMER
3492,ORF,primary,,FBGN0036987-MONOMER
3493,structural constituent of ribosome,primary,,FBGN0037686-MONOMER
3494,enzyme inhibitor activity//diazepam binding//acyl-CoA binding,primary,,FBGN0031478-MONOMER
3495,histidine-tRNA ligase activity,primary,1420,FBGN0027087-MONOMER
3496,DNA binding,primary,,FBGN0053872-MONOMER
3497,binding//transmembrane transporter activity,primary,,FBGN0031039-MONOMER
3498,ORF,primary,,FBGN0069962-MONOMER
3499,ORF,primary,,FBGN0028943-MONOMER
3500,ORF,primary,,FBGN0040965-MONOMER
3501,ORF,primary,,FBGN0085534-MONOMER
3502,beta-N-acetylglucosaminidase activity,primary,755,FBGN0045859-MONOMER
3503,RNA polymerase II transcription mediator activity,primary,,FBGN0034795-MONOMER
3504,ORF,primary,,FBGN0037129-MONOMER
3505,ORF,primary,,FBGN0083947-MONOMER
3506,extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity//glutamate receptor activity,primary,,FBGN0046113-MONOMER
3507,catalytic activity,primary,,FBGN0039650-MONOMER
3508,ORF,primary,,FBGN0040766-MONOMER
3509,ORF,primary,,FBGN0033471-MONOMER
3510,ORF,primary,,FBGN0085411-MONOMER
3511,ORF,primary,,FBGN0036180-MONOMER
3512,ORF,primary,,FBGN0085548-MONOMER
3513,DNA binding,primary,,FBGN0031740-MONOMER
3514,ORF,primary,,FBGN0052425-MONOMER
3515,ORF,primary,,FBGN0035101-MONOMER
3516,ORF,primary,,FBGN0034430-MONOMER
3517,ORF,primary,,FBGN0036991-MONOMER
3518,S-adenosylmethionine-dependent methyltransferase activity,primary,,FBGN0037543-MONOMER
3519,iron ion transmembrane transporter activity,primary,,FBGN0034094-MONOMER
3520,DNA binding,primary,,FBGN0053902-MONOMER
